ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;23215;23215;0;0;6;6
2;1;22461;22461;0;0;6;6
3;1;7747;7747;0;0;18;18
4;1;43204;43204;0;0;6;6
6;1;21057;21057;0;0;7;7
7;1;10421;10421;0;0;4;4
8;1;30727;30727;0;0;8;8
10;1;19497;19497;0;0;8;8
11;1;20724;20724;0;0;8;8
13;1;16477;16477;0;0;10;10
14;1;14048;14048;0;0;5;5
15;1;29524;29524;0;0;9;9
16;1;10770;10770;0;0;8;8
17;1;27549;27549;0;0;7;7
18;1;36014;36014;0;0;8;8
19;1;38040;38040;0;0;6;6
20;1;38517;38517;0;0;12;12
22;1;19748;19748;0;0;7;7
23;1;36067;36067;0;0;15;15
24;1;33019;33019;0;0;8;8
25;1;4108;4108;0;0;10;10
26;1;24390;24390;0;0;10;10
27;1;11738;11738;0;0;8;8
28;1;20322;20322;0;0;12;12
31;1;29104;29104;0;0;12;12
32;1;14740;14740;0;0;7;7
33;1;25656;25656;0;0;9;9
