ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;2032;2032;0;0;6;6
2;1;33057;33057;0;0;6;6
3;1;3608;3608;0;0;17;17
4;1;7163;7163;0;0;6;6
6;1;9834;9834;0;0;7;7
7;1;22233;22233;0;0;3;3
8;1;22828;22828;0;0;7;7
10;1;38289;38289;0;0;8;8
11;1;36834;36834;0;0;8;8
13;1;3317;3317;0;0;11;11
14;1;5863;5863;0;0;5;5
15;1;30092;30092;0;0;9;9
16;1;27309;27309;0;0;8;8
17;1;30593;30593;0;0;6;6
18;1;36804;36804;0;0;8;8
19;1;17677;17677;0;0;7;7
20;1;17378;17378;0;0;13;13
22;1;38166;38166;0;0;7;7
23;1;36589;36589;0;0;15;15
24;1;34034;34034;0;0;9;9
25;1;11946;11946;0;0;9;9
26;1;2922;2922;0;0;10;10
27;1;10537;10537;0;0;8;8
28;1;2579;2579;0;0;12;12
31;1;44362;44362;0;0;9;9
32;1;17435;17435;0;0;7;7
33;1;10603;10603;0;0;9;9
