ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3317;3317;0;0;6;6
2;1;1686;1686;0;0;6;6
3;1;37414;37414;0;0;17;17
4;1;1571;1571;0;0;6;6
6;1;8162;8162;0;0;9;9
7;1;859;859;0;0;4;4
8;1;3677;3677;0;0;7;7
10;1;2976;2976;0;0;7;7
11;1;2556;2556;0;0;7;7
13;1;8059;8059;0;0;11;11
14;1;2923;2923;0;0;7;7
15;1;4419;4419;0;0;9;9
16;1;6711;6711;0;0;9;9
17;1;2575;2575;0;0;6;6
18;1;8678;8678;0;0;9;9
19;1;6945;6945;0;0;8;8
20;1;38815;38815;0;0;14;14
22;1;5790;5790;0;0;8;8
23;1;34394;34394;0;0;16;16
24;1;10463;10463;0;0;10;10
25;1;12748;12748;0;0;12;12
26;1;6349;6349;0;0;9;9
27;1;8430;8430;0;0;9;9
28;1;15657;15657;0;0;12;12
31;1;8460;8460;0;0;10;10
32;1;5105;5105;0;0;8;8
33;1;6329;6329;0;0;10;10
