ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;721;721;0;0;5;5
2;1;1157;1157;0;0;6;6
3;1;44909;44909;0;0;17;17
4;1;1086;1086;0;0;5;5
6;1;2840;2840;0;0;7;7
7;1;620;620;0;0;4;4
8;1;2842;2842;0;0;7;7
10;1;2655;2655;0;0;8;8
11;1;2237;2237;0;0;8;8
13;1;5200;5200;0;0;11;11
14;1;1090;1090;0;0;5;5
15;1;3857;3857;0;0;9;9
16;1;4506;4506;0;0;9;9
17;1;2017;2017;0;0;6;6
18;1;2416;2416;0;0;8;8
19;1;1866;1866;0;0;6;6
20;1;7412;7412;0;0;12;12
22;1;3467;3467;0;0;8;8
23;1;12736;12736;0;0;14;14
24;1;2948;2948;0;0;8;8
25;1;3934;3934;0;0;9;9
26;1;7743;7743;0;0;10;10
27;1;3238;3238;0;0;9;9
28;1;9918;9918;0;0;13;13
31;1;10110;10110;0;0;11;11
32;1;3480;3480;0;0;7;7
33;1;3505;3505;0;0;9;9
