ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;20110;20110;0;0;6;6
2;1;20244;20244;0;0;6;6
3;1;7005;7005;0;0;17;17
4;1;19553;19553;0;0;6;6
6;1;5900;5900;0;0;9;9
7;1;13121;13121;0;0;5;5
8;1;37472;37472;0;0;7;7
10;1;12397;12397;0;0;7;7
11;1;25325;25325;0;0;8;8
13;1;10535;10535;0;0;10;10
14;1;13480;13480;0;0;5;5
15;1;30924;30924;0;0;9;9
16;1;3003;3003;0;0;8;8
17;1;26975;26975;0;0;7;7
18;1;30601;30601;0;0;9;9
19;1;14665;14665;0;0;10;10
20;1;15885;15885;0;0;13;13
22;1;2528;2528;0;0;8;8
23;1;17497;17497;0;0;15;15
24;1;24701;24701;0;0;8;8
25;1;16651;16651;0;0;11;11
26;1;36390;36390;0;0;12;12
27;1;28127;28127;0;0;9;9
28;1;25915;25915;0;0;13;13
31;1;16412;16412;0;0;12;12
32;1;630;630;0;0;8;8
33;1;1848;1848;0;0;11;11
