ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;875;875;0;0;6;6
2;1;1493;1493;0;0;6;6
3;1;46724;46724;0;0;17;17
4;1;1617;1617;0;0;6;6
6;1;2372;2372;0;0;7;7
7;1;338;338;0;0;3;3
8;1;3012;3012;0;0;7;7
10;1;4485;4485;0;0;8;8
11;1;1713;1713;0;0;7;7
13;1;5482;5482;0;0;11;11
14;1;979;979;0;0;5;5
15;1;4175;4175;0;0;9;9
16;1;2889;2889;0;0;8;8
17;1;1798;1798;0;0;6;6
18;1;2404;2404;0;0;8;8
19;1;3536;3536;0;0;7;7
20;1;10607;10607;0;0;12;12
22;1;3363;3363;0;0;8;8
23;1;17179;17179;0;0;14;14
24;1;2988;2988;0;0;8;8
25;1;5511;5511;0;0;10;10
26;1;4373;4373;0;0;9;9
27;1;3886;3886;0;0;9;9
28;1;7967;7967;0;0;12;12
31;1;11522;11522;0;0;12;12
32;1;3709;3709;0;0;7;7
33;1;4493;4493;0;0;9;9
