ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3181;3181;0;0;6;6
2;1;1521;1521;0;0;6;6
3;1;36205;36205;0;0;17;17
4;1;1473;1473;0;0;6;6
6;1;3954;3954;0;0;7;7
7;1;1319;1319;0;0;5;5
8;1;5413;5413;0;0;8;8
10;1;5919;5919;0;0;8;8
11;1;4902;4902;0;0;8;8
13;1;13114;13114;0;0;11;11
14;1;1488;1488;0;0;5;5
15;1;4221;4221;0;0;9;9
16;1;4792;4792;0;0;8;8
17;1;2885;2885;0;0;6;6
18;1;8272;8272;0;0;9;9
19;1;4523;4523;0;0;7;7
20;1;19924;19924;0;0;12;12
22;1;5115;5115;0;0;8;8
23;1;38693;38693;0;0;14;14
24;1;8191;8191;0;0;9;9
25;1;7338;7338;0;0;9;9
26;1;9621;9621;0;0;9;9
27;1;6572;6572;0;0;9;9
28;1;19529;19529;0;0;12;12
31;1;46499;46499;0;0;12;12
32;1;4157;4157;0;0;7;7
33;1;4811;4811;0;0;9;9
