ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3271;3271;0;0;6;6
2;1;1835;1835;0;0;6;6
3;1;35800;35800;0;0;17;17
4;1;1703;1703;0;0;6;6
6;1;3580;3580;0;0;7;7
7;1;468;468;0;0;3;3
8;1;3228;3228;0;0;7;7
10;1;4889;4889;0;0;8;8
11;1;1263;1263;0;0;7;7
13;1;4179;4179;0;0;10;10
14;1;1114;1114;0;0;5;5
15;1;5326;5326;0;0;9;9
16;1;3663;3663;0;0;8;8
17;1;1901;1901;0;0;6;6
18;1;3433;3433;0;0;8;8
19;1;3043;3043;0;0;7;7
20;1;9593;9593;0;0;12;12
22;1;4087;4087;0;0;8;8
23;1;12833;12833;0;0;14;14
24;1;3930;3930;0;0;8;8
25;1;4956;4956;0;0;9;9
26;1;7488;7488;0;0;10;10
27;1;3911;3911;0;0;8;8
28;1;9857;9857;0;0;12;12
31;1;14906;14906;0;0;12;12
32;1;5569;5569;0;0;8;8
33;1;5642;5642;0;0;9;9
