ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3308;3308;0;0;5;5
2;1;6703;6703;0;0;6;6
3;1;32647;32647;0;0;19;19
4;1;3331;3331;0;0;6;6
6;1;12327;12327;0;0;9;9
7;1;802;802;0;0;5;5
8;1;7960;7960;0;0;8;8
10;1;2132;2132;0;0;8;8
11;1;1131;1131;0;0;6;6
13;1;20889;20889;0;0;11;11
14;1;805;805;0;0;5;5
15;1;2008;2008;0;0;9;9
16;1;6156;6156;0;0;10;10
17;1;18549;18549;0;0;6;6
18;1;26024;26024;0;0;9;9
19;1;2465;2465;0;0;8;8
20;1;859;859;0;0;14;14
22;1;30623;30623;0;0;9;9
23;1;29321;29321;0;0;15;15
24;1;15633;15633;0;0;9;9
25;1;39341;39341;0;0;12;12
26;1;3805;3805;0;0;11;11
27;1;10274;10274;0;0;9;9
28;1;15298;15298;0;0;13;13
31;1;15333;15333;0;0;10;10
32;1;11102;11102;0;0;8;8
33;1;15395;15395;0;0;10;10
