ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;6890;6890;0;0;6;6
2;1;7217;7217;0;0;6;6
3;1;13430;13430;0;0;18;18
4;1;7768;7768;0;0;6;6
6;1;23415;23415;0;0;7;7
7;1;663;663;0;0;3;3
8;1;10744;10744;0;0;7;7
10;1;13640;13640;0;0;8;8
11;1;12155;12155;0;0;7;7
13;1;22799;22799;0;0;10;10
14;1;3030;3030;0;0;5;5
15;1;18808;18808;0;0;9;9
16;1;18257;18257;0;0;8;8
17;1;8610;8610;0;0;6;6
18;1;20849;20849;0;0;8;8
19;1;6446;6446;0;0;6;6
20;1;40047;40047;0;0;13;13
22;1;17349;17349;0;0;7;7
23;1;22090;22090;0;0;14;14
24;1;21607;21607;0;0;8;8
25;1;39731;39731;0;0;9;9
26;1;30146;30146;0;0;10;10
27;1;36923;36923;0;0;9;9
28;1;15172;15172;0;0;13;13
31;1;16176;16176;0;0;12;12
32;1;10282;10282;0;0;8;8
33;1;24362;24362;0;0;9;9
