ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;1320;1320;0;0;6;6
2;1;1396;1396;0;0;6;6
3;1;40980;40980;0;0;17;17
4;1;1791;1791;0;0;6;6
6;1;6670;6670;0;0;9;9
7;1;765;765;0;0;5;5
8;1;4343;4343;0;0;8;8
10;1;3136;3136;0;0;7;7
11;1;3376;3376;0;0;8;8
13;1;4495;4495;0;0;10;10
14;1;1236;1236;0;0;5;5
15;1;4727;4727;0;0;9;9
16;1;3257;3257;0;0;8;8
17;1;2090;2090;0;0;6;6
18;1;5176;5176;0;0;9;9
19;1;3422;3422;0;0;8;8
20;1;11817;11817;0;0;14;14
22;1;4958;4958;0;0;9;9
23;1;15582;15582;0;0;15;15
24;1;3866;3866;0;0;8;8
25;1;7705;7705;0;0;10;10
26;1;8972;8972;0;0;11;11
27;1;4547;4547;0;0;9;9
28;1;9517;9517;0;0;11;11
31;1;16851;16851;0;0;13;13
32;1;6819;6819;0;0;9;9
33;1;5252;5252;0;0;9;9
