ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;19630;19630;0;0;6;6
2;1;19675;19675;0;0;6;6
3;1;17191;17191;0;0;17;17
4;1;19140;19140;0;0;6;6
6;1;20869;20869;0;0;7;7
7;1;3233;3233;0;0;3;3
8;1;40310;40310;0;0;7;7
10;1;15756;15756;0;0;8;8
11;1;19023;19023;0;0;7;7
13;1;19321;19321;0;0;11;11
14;1;11429;11429;0;0;5;5
15;1;31631;31631;0;0;9;9
16;1;8381;8381;0;0;8;8
17;1;25856;25856;0;0;7;7
18;1;34910;34910;0;0;8;8
19;1;27702;27702;0;0;7;7
20;1;25624;25624;0;0;13;13
22;1;19053;19053;0;0;7;7
23;1;31013;31013;0;0;14;14
24;1;29910;29910;0;0;8;8
25;1;20072;20072;0;0;9;9
26;1;24105;24105;0;0;10;10
27;1;7178;7178;0;0;9;9
28;1;27955;27955;0;0;13;13
31;1;27319;27319;0;0;12;12
32;1;13679;13679;0;0;8;8
33;1;28551;28551;0;0;9;9
