ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;1293;1293;0;0;6;6
2;1;7016;7016;0;0;6;6
3;1;37250;37250;0;0;16;16
4;1;6048;6048;0;0;5;5
6;1;23737;23737;0;0;8;8
7;1;2585;2585;0;0;4;4
8;1;17783;17783;0;0;8;8
10;1;35372;35372;0;0;7;7
11;1;32114;32114;0;0;8;8
13;1;15511;15511;0;0;10;10
14;1;6351;6351;0;0;5;5
15;1;4917;4917;0;0;9;9
16;1;33172;33172;0;0;8;8
17;1;36352;36352;0;0;6;6
18;1;7298;7298;0;0;8;8
19;1;9969;9969;0;0;6;6
20;1;34886;34886;0;0;12;12
22;1;6439;6439;0;0;8;8
23;1;10490;10490;0;0;14;14
24;1;12918;12918;0;0;8;8
25;1;19764;19764;0;0;10;10
26;1;5056;5056;0;0;9;9
27;1;18301;18301;0;0;8;8
28;1;3923;3923;0;0;12;12
31;1;6054;6054;0;0;12;12
32;1;987;987;0;0;7;7
33;1;39318;39318;0;0;9;9
