ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;1814;1814;0;0;6;6
2;1;14025;14025;0;0;6;6
3;1;745;745;0;0;18;18
4;1;16462;16462;0;0;6;6
6;1;32310;32310;0;0;8;8
7;1;356;356;0;0;3;3
8;1;14232;14232;0;0;8;8
10;1;25834;25834;0;0;8;8
11;1;1554;1554;0;0;7;7
13;1;34766;34766;0;0;11;11
14;1;799;799;0;0;5;5
15;1;32900;32900;0;0;9;9
16;1;18693;18693;0;0;8;8
17;1;10513;10513;0;0;7;7
18;1;2130;2130;0;0;9;9
19;1;37093;37093;0;0;7;7
20;1;28393;28393;0;0;12;12
22;1;16831;16831;0;0;8;8
23;1;7412;7412;0;0;14;14
24;1;32251;32251;0;0;8;8
25;1;21352;21352;0;0;10;10
26;1;22151;22151;0;0;10;10
27;1;2588;2588;0;0;9;9
28;1;36176;36176;0;0;12;12
31;1;3041;3041;0;0;12;12
32;1;7531;7531;0;0;9;9
33;1;24156;24156;0;0;9;9
