ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;921;921;0;0;6;6
2;1;1501;1501;0;0;6;6
3;1;44838;44838;0;0;16;16
4;1;1662;1662;0;0;6;6
6;1;3459;3459;0;0;8;8
7;1;352;352;0;0;3;3
8;1;3317;3317;0;0;7;7
10;1;5589;5589;0;0;8;8
11;1;1174;1174;0;0;7;7
13;1;5858;5858;0;0;11;11
14;1;1090;1090;0;0;5;5
15;1;4206;4206;0;0;9;9
16;1;2607;2607;0;0;8;8
17;1;1736;1736;0;0;6;6
18;1;2303;2303;0;0;8;8
19;1;2625;2625;0;0;7;7
20;1;12066;12066;0;0;13;13
22;1;4039;4039;0;0;8;8
23;1;14403;14403;0;0;14;14
24;1;3104;3104;0;0;8;8
25;1;4413;4413;0;0;9;9
26;1;7133;7133;0;0;10;10
27;1;4202;4202;0;0;9;9
28;1;5102;5102;0;0;11;11
31;1;16028;16028;0;0;12;12
32;1;7490;7490;0;0;9;9
33;1;4199;4199;0;0;9;9
