ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3264;3264;0;0;6;6
2;1;1510;1510;0;0;6;6
3;1;42059;42059;0;0;17;17
4;1;1538;1538;0;0;6;6
6;1;4080;4080;0;0;7;7
7;1;434;434;0;0;3;3
8;1;4442;4442;0;0;8;8
10;1;3562;3562;0;0;8;8
11;1;1578;1578;0;0;7;7
13;1;7242;7242;0;0;11;11
14;1;1143;1143;0;0;5;5
15;1;3848;3848;0;0;9;9
16;1;3707;3707;0;0;8;8
17;1;4409;4409;0;0;8;8
18;1;5994;5994;0;0;9;9
19;1;1451;1451;0;0;5;5
20;1;10962;10962;0;0;12;12
22;1;4333;4333;0;0;8;8
23;1;9972;9972;0;0;14;14
24;1;3860;3860;0;0;9;9
25;1;3818;3818;0;0;9;9
26;1;5605;5605;0;0;9;9
27;1;4072;4072;0;0;8;8
28;1;6841;6841;0;0;11;11
31;1;11528;11528;0;0;12;12
32;1;5072;5072;0;0;8;8
33;1;4411;4411;0;0;9;9
