ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;4111;4111;0;0;6;6
2;1;6012;6012;0;0;6;6
3;1;14335;14335;0;0;17;17
4;1;6375;6375;0;0;6;6
6;1;19613;19613;0;0;8;8
7;1;965;965;0;0;5;5
8;1;8726;8726;0;0;7;7
10;1;34042;34042;0;0;8;8
11;1;11734;11734;0;0;8;8
13;1;22728;22728;0;0;9;9
14;1;3404;3404;0;0;5;5
15;1;33810;33810;0;0;10;10
16;1;38937;38937;0;0;8;8
17;1;14792;14792;0;0;6;6
18;1;31989;31989;0;0;9;9
19;1;9337;9337;0;0;8;8
20;1;11113;11113;0;0;15;15
22;1;32796;32796;0;0;8;8
23;1;22666;22666;0;0;15;15
24;1;5944;5944;0;0;8;8
25;1;18824;18824;0;0;11;11
26;1;26534;26534;0;0;11;11
27;1;22388;22388;0;0;8;8
28;1;26236;26236;0;0;11;11
31;1;36186;36186;0;0;10;10
32;1;8245;8245;0;0;8;8
33;1;23823;23823;0;0;10;10
