ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;2879;2879;0;0;6;6
2;1;9234;9234;0;0;6;6
3;1;40492;40492;0;0;17;17
4;1;12617;12617;0;0;6;6
6;1;24740;24740;0;0;9;9
7;1;946;946;0;0;3;3
8;1;16957;16957;0;0;7;7
10;1;20904;20904;0;0;8;8
11;1;10899;10899;0;0;8;8
13;1;31918;31918;0;0;10;10
14;1;2518;2518;0;0;5;5
15;1;28574;28574;0;0;9;9
16;1;10717;10717;0;0;8;8
17;1;4838;4838;0;0;5;5
18;1;32277;32277;0;0;9;9
19;1;3086;3086;0;0;5;5
20;1;12161;12161;0;0;12;12
22;1;9068;9068;0;0;9;9
23;1;15164;15164;0;0;15;15
24;1;12114;12114;0;0;7;7
25;1;21429;21429;0;0;9;9
26;1;17601;17601;0;0;10;10
27;1;29161;29161;0;0;8;8
28;1;8286;8286;0;0;13;13
31;1;11687;11687;0;0;12;12
32;1;16109;16109;0;0;9;9
33;1;4521;4521;0;0;10;10
