ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;3641;3641;0;0;6;6
2;1;8595;8595;0;0;6;6
3;1;13672;13672;0;0;17;17
4;1;7032;7032;0;0;6;6
6;1;9226;9226;0;0;7;7
7;1;732;732;0;0;3;3
8;1;16330;16330;0;0;7;7
10;1;18999;18999;0;0;8;8
11;1;8032;8032;0;0;8;8
13;1;26052;26052;0;0;11;11
14;1;3676;3676;0;0;5;5
15;1;34099;34099;0;0;9;9
16;1;33333;33333;0;0;8;8
17;1;9341;9341;0;0;6;6
18;1;30349;30349;0;0;8;8
19;1;7924;7924;0;0;7;7
20;1;15400;15400;0;0;13;13
22;1;30940;30940;0;0;8;8
23;1;7153;7153;0;0;14;14
24;1;12245;12245;0;0;8;8
25;1;21476;21476;0;0;9;9
26;1;29554;29554;0;0;11;11
27;1;37328;37328;0;0;9;9
28;1;8791;8791;0;0;13;13
31;1;20610;20610;0;0;12;12
32;1;4686;4686;0;0;7;7
33;1;30986;30986;0;0;9;9
