ID;Runs;TotalTime;AvgTime;Errors;ERR;DegreeBefore;DegreeAfter
1;1;18050;18050;0;0;6;6
2;1;18075;18075;0;0;6;6
3;1;19929;19929;0;0;17;17
4;1;18097;18097;0;0;6;6
6;1;20009;20009;0;0;7;7
7;1;7143;7143;0;0;4;4
8;1;22900;22900;0;0;7;7
10;1;15082;15082;0;0;8;8
11;1;18995;18995;0;0;7;7
13;1;16191;16191;0;0;11;11
14;1;12299;12299;0;0;5;5
15;1;31751;31751;0;0;9;9
16;1;2240;2240;0;0;9;9
17;1;32702;32702;0;0;6;6
18;1;35306;35306;0;0;8;8
19;1;33544;33544;0;0;6;6
20;1;20983;20983;0;0;12;12
22;1;5682;5682;0;0;9;9
23;1;30327;30327;0;0;14;14
24;1;31822;31822;0;0;8;8
25;1;22005;22005;0;0;9;9
26;1;31924;31924;0;0;10;10
27;1;6046;6046;0;0;9;9
28;1;37596;37596;0;0;12;12
31;1;29954;29954;0;0;12;12
32;1;11997;11997;0;0;8;8
33;1;29321;29321;0;0;9;9
